iter	Passed	Remaining
0	134	134356
1	135	67683
2	136	45489
3	138	34404
4	139	27679
5	139	23186
6	140	19963
7	141	17554
8	142	15682
9	143	14189
10	144	12970
11	145	11955
12	146	11094
13	147	10374
14	148	9733
15	149	9170
16	150	8682
17	151	8272
18	153	7902
19	154	7556
20	155	7242
21	156	6957
22	157	6697
23	158	6458
24	159	6229
25	160	6017
26	161	5821
27	162	5641
28	163	5472
29	164	5317
30	165	5174
31	166	5046
32	168	4927
33	169	4813
34	170	4696
35	171	4589
36	172	4487
37	173	4403
38	174	4311
39	175	4223
40	176	4138
41	177	4057
42	178	3979
43	179	3908
44	181	3844
45	182	3779
46	183	3715
47	184	3656
48	185	3597
49	186	3541
50	187	3490
51	188	3439
52	189	3391
53	190	3341
54	191	3296
55	192	3253
56	194	3210
57	195	3175
58	196	3137
59	197	3095
60	198	3056
61	199	3015
62	200	2976
63	200	2938
64	201	2902
65	202	2866
66	203	2831
67	204	2797
68	204	2764
69	205	2733
70	206	2703
71	207	2674
72	208	2645
73	209	2619
74	210	2593
75	211	2570
76	212	2544
77	213	2519
78	213	2494
79	214	2471
80	215	2448
81	216	2427
82	217	2399
83	218	2378
84	219	2358
85	220	2340
86	221	2322
87	222	2303
88	223	2285
89	224	2266
90	225	2249
91	226	2231
92	227	2214
93	228	2197
94	228	2181
95	229	2164
96	230	2148
97	231	2131
98	232	2115
99	233	2100
100	234	2085
101	235	2070
102	236	2056
103	237	2042
104	237	2028
105	238	2015
106	240	2003
107	241	1991
108	242	1978
109	242	1965
110	243	1952
111	244	1940
112	245	1928
113	246	1916
114	247	1904
115	248	1893
116	249	1880
117	250	1869
118	250	1858
119	251	1846
120	252	1836
121	253	1823
122	254	1813
123	255	1803
124	256	1794
125	257	1784
126	258	1773
127	259	1764
128	259	1754
129	260	1745
130	261	1736
131	262	1726
132	263	1717
133	264	1708
134	265	1700
135	266	1691
136	267	1683
137	268	1674
138	269	1666
139	270	1659
140	271	1652
141	271	1641
142	272	1633
143	273	1625
144	274	1618
145	275	1610
146	276	1603
147	277	1595
148	278	1588
149	279	1581
150	279	1574
151	280	1567
152	281	1560
153	282	1553
154	283	1546
155	284	1540
156	285	1534
157	286	1528
158	287	1522
159	288	1516
160	289	1508
161	290	1502
162	291	1496
163	292	1491
164	293	1485
165	294	1479
166	295	1473
167	296	1467
168	297	1461
169	298	1456
170	299	1450
171	300	1446
172	301	1441
173	302	1435
174	303	1429
175	304	1424
176	305	1418
177	305	1412
178	306	1407
179	307	1401
180	308	1396
181	309	1391
182	310	1385
183	311	1381
184	312	1375
185	313	1370
186	314	1365
187	315	1360
188	316	1356
189	317	1351
190	317	1346
191	318	1341
192	319	1336
193	320	1331
194	321	1326
195	322	1321
196	323	1316
197	323	1312
198	324	1307
199	325	1302
200	326	1297
201	327	1293
202	328	1288
203	329	1283
204	329	1279
205	330	1275
206	331	1271
207	332	1267
208	333	1262
209	334	1258
210	335	1254
211	336	1250
212	337	1246
