iter	Passed	Remaining
0	153	152899
1	155	77465
2	157	52233
3	160	40054
4	165	32885
5	167	27710
6	169	24006
7	171	21254
8	175	19318
9	181	17935
10	183	16502
11	185	15296
12	188	14314
13	194	13681
14	198	13003
15	199	12295
16	201	11664
17	204	11152
18	206	10674
19	208	10216
20	210	9814
21	212	9452
22	214	9123
23	217	8852
24	220	8608
25	223	8356
26	225	8114
27	227	7884
28	229	7678
29	231	7497
30	234	7319
31	236	7150
32	238	6978
33	240	6824
34	242	6673
35	243	6532
36	246	6403
37	248	6302
38	250	6174
39	252	6053
40	254	5945
41	255	5838
42	257	5741
43	260	5652
44	262	5565
45	263	5469
46	265	5381
47	267	5304
48	269	5221
49	270	5147
50	273	5080
51	275	5028
52	277	4956
53	278	4884
54	280	4823
55	282	4770
56	284	4712
57	286	4656
58	288	4602
59	291	4561
60	293	4510
61	294	4454
62	296	4407
63	297	4356
64	299	4314
65	301	4272
66	303	4232
67	306	4202
68	308	4160
69	310	4126
70	312	4090
71	314	4054
72	316	4021
73	318	3991
74	321	3966
75	323	3935
76	325	3904
77	327	3874
78	329	3845
79	331	3815
80	333	3787
81	335	3760
82	336	3722
83	339	3697
84	340	3670
85	342	3644
86	344	3618
87	346	3594
88	349	3572
89	350	3545
90	352	3521
91	354	3499
92	356	3478
93	358	3457
94	360	3437
95	363	3418
96	365	3397
97	366	3374
98	368	3354
99	370	3334
100	372	3315
101	374	3297
102	376	3278
103	380	3274
104	381	3253
105	383	3236
106	385	3219
107	387	3202
108	389	3185
109	391	3170
110	394	3158
111	396	3142
112	398	3127
113	400	3111
114	402	3097
115	404	3082
116	406	3066
117	408	3053
118	410	3038
119	412	3024
120	414	3011
121	416	2994
122	418	2981
123	420	2967
124	422	2956
125	424	2945
126	426	2930
127	428	2919
128	430	2909
129	433	2899
130	434	2885
131	437	2874
132	439	2863
133	441	2852
134	443	2842
135	445	2831
136	447	2820
137	449	2809
138	451	2799
139	453	2788
140	455	2774
141	456	2759
142	458	2750
143	461	2742
144	463	2732
145	465	2724
146	468	2715
147	470	2708
148	472	2699
149	474	2688
150	476	2676
151	477	2665
152	479	2654
153	480	2640
154	482	2629
155	485	2625
156	486	2614
157	488	2602
158	489	2590
159	492	2583
160	493	2569
161	494	2557
162	495	2544
163	497	2535
164	499	2528
165	501	2519
166	503	2511
167	504	2498
168	506	2492
169	510	2490
170	517	2509
171	519	2500
172	521	2491
173	523	2485
174	525	2479
175	529	2478
176	532	2474
177	535	2473
178	537	2466
179	539	2456
180	541	2450
181	544	2446
182	546	2441
183	549	2436
184	551	2430
185	553	2423
186	556	2417
187	558	2413
188	561	2408
189	563	2401
190	565	2396
191	568	2390
192	570	2384
193	573	2382
194	575	2377
